Gene,Metabolite,Correlation
Dapma7bEVm002778,137_0297468,-0.536679428
Dapma7bEVm002889,137_0297468,-0.509025918
Dapma7bEVm002938,137_0297468,-0.516974414
Dapma7bEVm002524,138_9643966,-0.520400528
Dapma7bEVm002889,138_9643966,-0.51553288
Dapma7bEVm002938,138_9643966,-0.530741261
Dapma7bEVm002524,148_0150336,-0.567920479
Dapma7bEVm002778,148_0150336,-0.530944576
Dapma7bEVm002801,148_0150336,-0.525518866
Dapma7bEVm002889,148_0150336,-0.530809028
Dapma7bEVm002938,148_0150336,-0.53943351
Dapma7bEVm002524,151_045681,-0.53965581
Dapma7bEVm002778,151_045681,-0.517028877
Dapma7bEVm002784,151_045681,0.515279101
Dapma7bEVm002524,155_0558511,-0.583921861
Dapma7bEVm002746,155_0558511,-0.534654472
Dapma7bEVm002778,155_0558511,-0.534445419
Dapma7bEVm002784,155_0558511,0.516760043
Dapma7bEVm002801,155_0558511,-0.516002845
Dapma7bEVm002889,155_0558511,-0.53521312
Dapma7bEVm002938,155_0558511,-0.524887149
Dapma7bEVm002524,156_9753322,-0.507226231
Dapma7bEVm002938,156_9753322,-0.505356399
Dapma7bEVm002524,158_0304838,-0.597089129
Dapma7bEVm002637,158_0304838,-0.507143221
Dapma7bEVm002746,158_0304838,-0.544034208
Dapma7bEVm002778,158_0304838,-0.566286302
Dapma7bEVm002801,158_0304838,-0.540893501
Dapma7bEVm002810,158_0304838,-0.510573948
Dapma7bEVm002868,158_0304838,-0.535572771
Dapma7bEVm002889,158_0304838,-0.586506976
Dapma7bEVm002938,158_0304838,-0.593102697
Dapma7bEVm002784,158_9226476,-0.516691596
Dapma7bEVm002524,170_9910212,-0.502524044
Dapma7bEVm002524,173_0664584,-0.546113227
Dapma7bEVm002524,182_9630109,-0.640859008
Dapma7bEVm002637,182_9630109,-0.529243892
Dapma7bEVm002746,182_9630109,-0.567435018
Dapma7bEVm002778,182_9630109,-0.607871711
Dapma7bEVm002784,182_9630109,0.512492862
Dapma7bEVm002801,182_9630109,-0.582272271
Dapma7bEVm002810,182_9630109,-0.509463758
Dapma7bEVm002868,182_9630109,-0.561777641
Dapma7bEVm002889,182_9630109,-0.609019054
Dapma7bEVm002938,182_9630109,-0.604081589
Dapma7bEVm002524,183_9638,-0.633576087
Dapma7bEVm002637,183_9638,-0.508950855
Dapma7bEVm002746,183_9638,-0.566452642
Dapma7bEVm002778,183_9638,-0.615111272
Dapma7bEVm002784,183_9638,0.511986835
Dapma7bEVm002801,183_9638,-0.577517428
Dapma7bEVm002810,183_9638,-0.506878056
Dapma7bEVm002868,183_9638,-0.559338101
Dapma7bEVm002889,183_9638,-0.602364441
Dapma7bEVm002938,183_9638,-0.604840594
Dapma7bEVm002524,184_9605497,-0.634734276
Dapma7bEVm002637,184_9605497,-0.511507069
Dapma7bEVm002746,184_9605497,-0.564296431
Dapma7bEVm002778,184_9605497,-0.611643881
Dapma7bEVm002784,184_9605497,0.504367544
Dapma7bEVm002801,184_9605497,-0.576576677
Dapma7bEVm002810,184_9605497,-0.503826789
Dapma7bEVm002868,184_9605497,-0.557667738
Dapma7bEVm002889,184_9605497,-0.602089936
Dapma7bEVm002938,184_9605497,-0.605930702
Dapma7bEVm002524,186_0616645,-0.60705443
Dapma7bEVm002637,186_0616645,-0.513871044
Dapma7bEVm002746,186_0616645,-0.565497213
Dapma7bEVm002778,186_0616645,-0.569200179
Dapma7bEVm002801,186_0616645,-0.567877274
Dapma7bEVm002810,186_0616645,-0.523344553
Dapma7bEVm002868,186_0616645,-0.535196265
Dapma7bEVm002889,186_0616645,-0.609915034
Dapma7bEVm002938,186_0616645,-0.580931662
Dapma7bEVm002524,188_0409255,-0.557437594
Dapma7bEVm002637,188_0409255,-0.509030397
Dapma7bEVm002746,188_0409255,-0.52079568
Dapma7bEVm002778,188_0409255,-0.55925288
Dapma7bEVm002889,188_0409255,-0.537916204
Dapma7bEVm002938,188_0409255,-0.549897876
Dapma7bEVm002524,192_0450049,0.513764768
Dapma7bEVm002524,197_0663502,-0.550551779
Dapma7bEVm002524,200_0772426,-0.663967742
Dapma7bEVm002637,200_0772426,-0.573289996
Dapma7bEVm002744,200_0772426,-0.551175312
Dapma7bEVm002746,200_0772426,-0.637658977
Dapma7bEVm002778,200_0772426,-0.60348325
Dapma7bEVm002787,200_0772426,-0.571561567
Dapma7bEVm002801,200_0772426,-0.606000463
Dapma7bEVm002810,200_0772426,-0.572156312
Dapma7bEVm002868,200_0772426,-0.608406188
Dapma7bEVm002889,200_0772426,-0.691657625
Dapma7bEVm002915,200_0772426,-0.56505037
Dapma7bEVm002921,200_0772426,-0.540073698
Dapma7bEVm002938,200_0772426,-0.67146927
Dapma7bEVm002524,200_9735111,-0.635870196
Dapma7bEVm002637,200_9735111,-0.525308648
Dapma7bEVm002746,200_9735111,-0.564981919
Dapma7bEVm002778,200_9735111,-0.599421312
Dapma7bEVm002801,200_9735111,-0.578791324
Dapma7bEVm002810,200_9735111,-0.521230679
Dapma7bEVm002868,200_9735111,-0.55941009
Dapma7bEVm002889,200_9735111,-0.612817267
Dapma7bEVm002938,200_9735111,-0.603998101
Dapma7bEVm002524,201_9743187,-0.637144896
Dapma7bEVm002637,201_9743187,-0.51209287
Dapma7bEVm002746,201_9743187,-0.574300247
Dapma7bEVm002778,201_9743187,-0.60913066
Dapma7bEVm002784,201_9743187,0.504203623
Dapma7bEVm002801,201_9743187,-0.580613173
Dapma7bEVm002810,201_9743187,-0.516277698
Dapma7bEVm002868,201_9743187,-0.556871209
Dapma7bEVm002889,201_9743187,-0.609599523
Dapma7bEVm002938,201_9743187,-0.610529539
Dapma7bEVm002524,202_0565338,-0.526216154
Dapma7bEVm002778,202_0565338,-0.521124805
Dapma7bEVm002938,202_0565338,-0.526913581
Dapma7bEVm002778,206_9224264,-0.517045271
Dapma7bEVm002524,211_0821757,-0.543065474
Dapma7bEVm002524,213_0015638,-0.555909075
Dapma7bEVm002746,213_0015638,-0.508736013
Dapma7bEVm002524,214_9893542,-0.609663795
Dapma7bEVm002637,214_9893542,-0.504980498
Dapma7bEVm002746,214_9893542,-0.534629783
Dapma7bEVm002778,214_9893542,-0.608361329
Dapma7bEVm002801,214_9893542,-0.562888512
Dapma7bEVm002868,214_9893542,-0.525127993
Dapma7bEVm002889,214_9893542,-0.582179553
Dapma7bEVm002938,214_9893542,-0.583177026
Dapma7bEVm002524,215_0519749,-0.526312356
Dapma7bEVm002746,215_0519749,-0.504321997
Dapma7bEVm002778,215_0519749,-0.569905543
Dapma7bEVm002801,215_0519749,-0.505998841
Dapma7bEVm002868,215_0519749,-0.512145314
Dapma7bEVm002889,215_0519749,-0.556407104
Dapma7bEVm002938,215_0519749,-0.560302333
Dapma7bEVm002524,215_0771164,-0.534092837
Dapma7bEVm002784,215_0771164,0.532728399
Dapma7bEVm002524,215_9903209,-0.501414437
Dapma7bEVm002524,218_9844358,-0.615116294
Dapma7bEVm002746,218_9844358,-0.551362826
Dapma7bEVm002778,218_9844358,-0.586895852
Dapma7bEVm002801,218_9844358,-0.557138711
Dapma7bEVm002810,218_9844358,-0.503126882
Dapma7bEVm002868,218_9844358,-0.524512776
Dapma7bEVm002889,218_9844358,-0.584015904
Dapma7bEVm002938,218_9844358,-0.587309371
Dapma7bEVm002524,229_0928547,-0.515608142
Dapma7bEVm002524,237_0980027,-0.534362138
Dapma7bEVm002524,245_0000225,-0.519192438
Dapma7bEVm002524,260_0985656,-0.506158246
Dapma7bEVm002524,264_0772566,-0.559367458
Dapma7bEVm002637,264_0772566,-0.548423104
Dapma7bEVm002746,264_0772566,-0.515499919
Dapma7bEVm002778,264_0772566,-0.522191441
Dapma7bEVm002801,264_0772566,-0.51825818
Dapma7bEVm002810,264_0772566,-0.516895258
Dapma7bEVm002868,264_0772566,-0.512750311
Dapma7bEVm002889,264_0772566,-0.559920455
Dapma7bEVm002938,264_0772566,-0.573351305
Dapma7bEVm002546,266_0343253,0.502513435
Dapma7bEVm002784,283_0856581,0.529045139
Dapma7bEVm002524,285_0828087,-0.573699176
Dapma7bEVm002746,285_0828087,-0.508882549
Dapma7bEVm002778,285_0828087,-0.561640027
Dapma7bEVm002784,285_0828087,0.54054943
Dapma7bEVm002801,285_0828087,-0.522148678
Dapma7bEVm002868,285_0828087,-0.502643843
Dapma7bEVm002889,285_0828087,-0.538644941
Dapma7bEVm002938,285_0828087,-0.531609076
Dapma7bEVm002524,304_0175702,0.524221956
Dapma7bEVm002524,305_0016376,0.522352448
Dapma7bEVm002889,370_0403345,-0.504618672
Dapma7bEVm002938,370_0403345,-0.504736194
Dapma7bEVm002524,144_9980713,-0.538206224
Dapma7bEVm002889,144_9980713,-0.537812992
Dapma7bEVm002938,144_9980713,-0.507092018
Dapma7bEVm002524,162_963925,-0.503386932
Dapma7bEVm002949,180_0641465,0.559035811
Dapma7bEVm002524,202_0234296,-0.582178089
Dapma7bEVm002778,202_0234296,-0.57180321
Dapma7bEVm002801,202_0234296,-0.539892052
Dapma7bEVm002889,202_0234296,-0.517032903
Dapma7bEVm002938,202_0234296,-0.522973475
Dapma7bEVm002949,202_0471853,0.526967927
Dapma7bEVm002524,203_0200539,-0.590274568
Dapma7bEVm002746,203_0200539,-0.50458396
Dapma7bEVm002778,203_0200539,-0.578256632
Dapma7bEVm002784,203_0200539,0.506036174
Dapma7bEVm002801,203_0200539,-0.553294503
Dapma7bEVm002889,203_0200539,-0.528705781
Dapma7bEVm002938,203_0200539,-0.536841203
Dapma7bEVm002524,203_0281616,-0.588844948
Dapma7bEVm002746,203_0281616,-0.516641656
Dapma7bEVm002778,203_0281616,-0.585430097
Dapma7bEVm002784,203_0281616,0.506075552
Dapma7bEVm002801,203_0281616,-0.561277738
Dapma7bEVm002889,203_0281616,-0.537687183
Dapma7bEVm002938,203_0281616,-0.546504471
Dapma7bEVm002524,204_0250246,-0.559214521
Dapma7bEVm002778,204_0250246,-0.554854604
Dapma7bEVm002801,204_0250246,-0.521171126
Dapma7bEVm002524,210_0245447,-0.581476107
Dapma7bEVm002746,210_0245447,-0.516603745
Dapma7bEVm002778,210_0245447,-0.580872458
Dapma7bEVm002801,210_0245447,-0.549785618
Dapma7bEVm002868,210_0245447,-0.512979883
Dapma7bEVm002889,210_0245447,-0.545474126
Dapma7bEVm002938,210_0245447,-0.55199081
Dapma7bEVm002524,228_0363422,-0.586157765
Dapma7bEVm002746,228_0363422,-0.515448519
Dapma7bEVm002778,228_0363422,-0.580217838
Dapma7bEVm002801,228_0363422,-0.546398542
Dapma7bEVm002889,228_0363422,-0.53542859
Dapma7bEVm002938,228_0363422,-0.556490329
Dapma7bEVm002524,230_0520209,-0.595990469
Dapma7bEVm002746,230_0520209,-0.51588638
Dapma7bEVm002778,230_0520209,-0.571446664
Dapma7bEVm002784,230_0520209,0.504899616
Dapma7bEVm002801,230_0520209,-0.542188629
Dapma7bEVm002810,230_0520209,-0.506180128
Dapma7bEVm002889,230_0520209,-0.557343145
Dapma7bEVm002938,230_0520209,-0.559716352
Dapma7bEVm002524,236_0525828,-0.603707036
Dapma7bEVm002746,236_0525828,-0.525313527
Dapma7bEVm002778,236_0525828,-0.588663455
Dapma7bEVm002801,236_0525828,-0.562404016
Dapma7bEVm002889,236_0525828,-0.562560899
Dapma7bEVm002938,236_0525828,-0.561017357
Dapma7bEVm002546,241_0305254,0.597191998
Dapma7bEVm002703,241_0305254,0.508237292
Dapma7bEVm002524,243_015558,-0.510910612
Dapma7bEVm002546,243_0276561,0.602519047
Dapma7bEVm002703,243_0276561,0.505662086
Dapma7bEVm002546,248_0540115,0.504583668
Dapma7bEVm002949,248_0540115,0.501712008
Dapma7bEVm002524,251_0079249,-0.511232138
Dapma7bEVm002778,251_0079249,-0.51110712
Dapma7bEVm002524,253_0707295,0.503053391
Dapma7bEVm002524,256_0003787,-0.529970158
Dapma7bEVm002524,258_0842264,-0.666796138
Dapma7bEVm002637,258_0842264,-0.561504175
Dapma7bEVm002746,258_0842264,-0.592979877
Dapma7bEVm002778,258_0842264,-0.580823987
Dapma7bEVm002801,258_0842264,-0.588401238
Dapma7bEVm002810,258_0842264,-0.587298013
Dapma7bEVm002868,258_0842264,-0.560433364
Dapma7bEVm002889,258_0842264,-0.632023381
Dapma7bEVm002915,258_0842264,-0.521748947
Dapma7bEVm002938,258_0842264,-0.629024048
Dapma7bEVm002524,260_9821741,-0.529546177
Dapma7bEVm002524,272_0998631,-0.666185086
Dapma7bEVm002637,272_0998631,-0.575903916
Dapma7bEVm002746,272_0998631,-0.602577332
Dapma7bEVm002778,272_0998631,-0.58017791
Dapma7bEVm002801,272_0998631,-0.596668196
Dapma7bEVm002810,272_0998631,-0.60093607
Dapma7bEVm002868,272_0998631,-0.561887385
Dapma7bEVm002889,272_0998631,-0.632290193
Dapma7bEVm002915,272_0998631,-0.532722931
Dapma7bEVm002938,272_0998631,-0.643730854
Dapma7bEVm002524,273_0389911,-0.595228655
Dapma7bEVm002746,273_0389911,-0.574747588
Dapma7bEVm002778,273_0389911,-0.562906209
Dapma7bEVm002801,273_0389911,-0.555206621
Dapma7bEVm002889,273_0389911,-0.548405801
Dapma7bEVm002938,273_0389911,-0.575648052
Dapma7bEVm002643,274_0400072,0.555399766
Dapma7bEVm002527,277_1121521,-0.537177837
Dapma7bEVm002546,277_1121521,0.537780476
Dapma7bEVm002703,277_1121521,0.509005129
Dapma7bEVm002847,277_1121521,0.527124109
Dapma7bEVm002949,278_0352803,0.50024076
Dapma7bEVm002527,278_1154715,-0.5391039
Dapma7bEVm002546,278_1154715,0.535614979
Dapma7bEVm002847,278_1154715,0.509480183
Dapma7bEVm002527,279_1079753,-0.535840454
Dapma7bEVm002546,279_1079753,0.515020169
Dapma7bEVm002847,279_1079753,0.507417164
Dapma7bEVm002546,281_1238426,0.539072739
Dapma7bEVm002949,284_0521787,0.535244778
Dapma7bEVm002524,286_0298948,-0.561685184
Dapma7bEVm002778,286_0298948,-0.561006731
Dapma7bEVm002801,286_0298948,-0.51316226
Dapma7bEVm002938,286_0298948,-0.500386624
Dapma7bEVm002524,298_0397508,-0.568220893
Dapma7bEVm002778,298_0397508,-0.530712961
Dapma7bEVm002801,298_0397508,-0.507026004
Dapma7bEVm002889,298_0397508,-0.559803782
Dapma7bEVm002938,298_0397508,-0.54590784
Dapma7bEVm002546,300_1641329,0.544470628
Dapma7bEVm002561,300_1641329,0.515632855
Dapma7bEVm002697,300_1641329,0.520211757
Dapma7bEVm002703,300_1641329,0.521239517
Dapma7bEVm002719,300_1641329,0.536043504
Dapma7bEVm002923,300_1641329,0.539796376
Dapma7bEVm002939,300_1641329,0.514570118
Dapma7bEVm002953,300_1641329,0.529092943
Dapma7bEVm002969,300_1641329,0.520379361
Dapma7bEVm002889,300_9464292,-0.505162426
Dapma7bEVm002524,301_0267766,-0.609530205
Dapma7bEVm002637,301_0267766,-0.514485311
Dapma7bEVm002746,301_0267766,-0.543679074
Dapma7bEVm002778,301_0267766,-0.571426254
Dapma7bEVm002801,301_0267766,-0.553495502
Dapma7bEVm002868,301_0267766,-0.51929294
Dapma7bEVm002889,301_0267766,-0.575242038
Dapma7bEVm002938,301_0267766,-0.561095515
Dapma7bEVm002524,302_9887637,-0.512576777
Dapma7bEVm002986,305_0868804,-0.507179277
Dapma7bEVm002524,310_0090783,-0.510841368
Dapma7bEVm002889,310_0090783,-0.503435686
Dapma7bEVm002524,310_0397478,-0.56874726
Dapma7bEVm002778,310_0397478,-0.575765914
Dapma7bEVm002801,310_0397478,-0.520484296
Dapma7bEVm002889,310_0397478,-0.508339929
Dapma7bEVm002938,310_0397478,-0.525445442
Dapma7bEVm002546,310_0605419,0.515918222
Dapma7bEVm002546,311_0543119,0.553328915
Dapma7bEVm002524,312_9561271,-0.506336464
Dapma7bEVm002524,315_0055837,-0.567269645
Dapma7bEVm002746,315_0055837,-0.511285437
Dapma7bEVm002778,315_0055837,-0.558597477
Dapma7bEVm002801,315_0055837,-0.522262238
Dapma7bEVm002889,315_0055837,-0.51654647
Dapma7bEVm002938,315_0055837,-0.506605246
Dapma7bEVm002524,315_0419893,-0.514558972
Dapma7bEVm002778,315_0419893,-0.504627468
Dapma7bEVm002524,315_1156794,-0.622931165
Dapma7bEVm002637,315_1156794,-0.525009851
Dapma7bEVm002746,315_1156794,-0.562264847
Dapma7bEVm002778,315_1156794,-0.604460353
Dapma7bEVm002801,315_1156794,-0.577187814
Dapma7bEVm002810,315_1156794,-0.530225805
Dapma7bEVm002868,315_1156794,-0.516744908
Dapma7bEVm002889,315_1156794,-0.578450613
Dapma7bEVm002938,315_1156794,-0.592469501
Dapma7bEVm002524,316_9676371,-0.503603089
Dapma7bEVm002524,317_0040222,-0.503161887
Dapma7bEVm002524,318_0557571,-0.584551793
Dapma7bEVm002746,318_0557571,-0.520927557
Dapma7bEVm002778,318_0557571,-0.598653838
Dapma7bEVm002801,318_0557571,-0.546960272
Dapma7bEVm002889,318_0557571,-0.555619804
Dapma7bEVm002938,318_0557571,-0.543763297
Dapma7bEVm002524,319_0215703,0.518203638
Dapma7bEVm002524,322_9241379,-0.520414037
Dapma7bEVm002524,329_0213144,-0.629137939
Dapma7bEVm002637,329_0213144,-0.52334149
Dapma7bEVm002746,329_0213144,-0.552520152
Dapma7bEVm002778,329_0213144,-0.604336511
Dapma7bEVm002784,329_0213144,0.512285016
Dapma7bEVm002801,329_0213144,-0.572334155
Dapma7bEVm002868,329_0213144,-0.501725492
Dapma7bEVm002889,329_0213144,-0.565950293
Dapma7bEVm002938,329_0213144,-0.559706943
Dapma7bEVm002949,330_0570431,0.507225951
Dapma7bEVm002524,330_9832809,-0.542951579
Dapma7bEVm002784,330_9832809,0.510997327
Dapma7bEVm002524,331_0195293,-0.505262855
Dapma7bEVm002524,336_9397921,-0.519113531
Dapma7bEVm002949,338_055618,0.504636131
Dapma7bEVm002524,340_9772586,-0.514961503
Dapma7bEVm002778,340_9772586,-0.511458132
Dapma7bEVm002524,342_9842593,-0.50637449
Dapma7bEVm002524,343_0369765,-0.647166001
Dapma7bEVm002637,343_0369765,-0.531250124
Dapma7bEVm002746,343_0369765,-0.565906562
Dapma7bEVm002778,343_0369765,-0.615320306
Dapma7bEVm002784,343_0369765,0.518981743
Dapma7bEVm002801,343_0369765,-0.584840232
Dapma7bEVm002810,343_0369765,-0.500733657
Dapma7bEVm002868,343_0369765,-0.512292697
Dapma7bEVm002889,343_0369765,-0.575212854
Dapma7bEVm002938,343_0369765,-0.579456264
Dapma7bEVm002524,344_9990072,-0.538895865
Dapma7bEVm002784,344_9990072,0.519930441
Dapma7bEVm002524,353_0199682,-0.525298973
Dapma7bEVm002778,353_0199682,-0.519304951
Dapma7bEVm002524,354_1019095,-0.515165067
Dapma7bEVm002746,354_1019095,-0.530146706
Dapma7bEVm002801,354_1019095,-0.502523835
Dapma7bEVm002810,354_1019095,-0.516662705
Dapma7bEVm002938,354_1019095,-0.523877368
Dapma7bEVm002524,359_0145206,-0.505947717
Dapma7bEVm002784,359_0145206,0.506439172
Dapma7bEVm002524,360_0153388,-0.506069543
Dapma7bEVm002784,360_0153388,0.502815684
Dapma7bEVm002524,360_0178904,-0.507312573
Dapma7bEVm002784,360_0178904,0.505391867
Dapma7bEVm002524,368_0322747,-0.521998072
Dapma7bEVm002778,368_0322747,-0.533406028
Dapma7bEVm002524,380_0423049,-0.555992844
Dapma7bEVm002778,380_0423049,-0.513554151
Dapma7bEVm002889,380_0423049,-0.501962197
Dapma7bEVm002524,382_9491381,-0.522775723
Dapma7bEVm002889,382_9491381,-0.514013627
Dapma7bEVm002524,383_1031398,-0.530324076
Dapma7bEVm002746,383_1031398,-0.542690449
Dapma7bEVm002778,383_1031398,-0.532596215
Dapma7bEVm002801,383_1031398,-0.520426547
Dapma7bEVm002938,383_1031398,-0.509463862
Dapma7bEVm002524,384_9914579,-0.505595202
Dapma7bEVm002524,392_0118514,-0.524837266
Dapma7bEVm002889,392_0118514,-0.503124792
Dapma7bEVm002524,394_9953627,-0.558951505
Dapma7bEVm002746,394_9953627,-0.509039722
Dapma7bEVm002778,394_9953627,-0.520527488
Dapma7bEVm002801,394_9953627,-0.505928154
Dapma7bEVm002889,394_9953627,-0.524697758
Dapma7bEVm002938,394_9953627,-0.530206986
Dapma7bEVm002524,397_1189827,-0.591945694
Dapma7bEVm002746,397_1189827,-0.522842177
Dapma7bEVm002778,397_1189827,-0.585753417
Dapma7bEVm002801,397_1189827,-0.560296711
Dapma7bEVm002810,397_1189827,-0.501413385
Dapma7bEVm002889,397_1189827,-0.548679793
Dapma7bEVm002938,397_1189827,-0.566060207
Dapma7bEVm002524,399_0072781,-0.503972911
Dapma7bEVm002524,400_058901,-0.542444437
Dapma7bEVm002778,400_058901,-0.57478797
Dapma7bEVm002801,400_058901,-0.52027711
Dapma7bEVm002889,400_058901,-0.509502408
Dapma7bEVm002938,400_058901,-0.507352872
Dapma7bEVm002524,406_0247706,-0.527649997
Dapma7bEVm002778,406_0247706,-0.503017021
Dapma7bEVm002524,406_0275931,-0.510589799
Dapma7bEVm002524,410_9720177,-0.505634547
Dapma7bEVm002524,411_0245383,-0.621905819
Dapma7bEVm002637,411_0245383,-0.517045822
Dapma7bEVm002746,411_0245383,-0.550386552
Dapma7bEVm002778,411_0245383,-0.607317475
Dapma7bEVm002784,411_0245383,0.504162961
Dapma7bEVm002801,411_0245383,-0.577295172
Dapma7bEVm002889,411_0245383,-0.548750253
Dapma7bEVm002938,411_0245383,-0.559509245
Dapma7bEVm002524,412_9866158,-0.525392713
Dapma7bEVm002784,412_9866158,0.512000497
Dapma7bEVm002524,413_0228582,-0.50944347
Dapma7bEVm002524,418_9429181,-0.504462063
Dapma7bEVm002524,420_0401365,-0.532806881
Dapma7bEVm002938,420_0401365,-0.515698948
Dapma7bEVm002524,425_0400369,-0.597371272
Dapma7bEVm002746,425_0400369,-0.524856225
Dapma7bEVm002778,425_0400369,-0.591659675
Dapma7bEVm002801,425_0400369,-0.563807038
Dapma7bEVm002889,425_0400369,-0.526201527
Dapma7bEVm002938,425_0400369,-0.544916787
Dapma7bEVm002524,427_0022181,-0.508432274
Dapma7bEVm002784,427_0022181,0.513070632
Dapma7bEVm002524,428_0464016,-0.511174557
Dapma7bEVm002746,428_0464016,-0.54332039
Dapma7bEVm002778,428_0464016,-0.52572636
Dapma7bEVm002889,428_0464016,-0.533762501
Dapma7bEVm002938,428_0464016,-0.554494208
Dapma7bEVm002524,429_0930429,-0.505501052
Dapma7bEVm002524,437_0017034,-0.521917773
Dapma7bEVm002889,437_0017034,-0.507521523
Dapma7bEVm002524,479_0122342,-0.539726511
Dapma7bEVm002778,479_0122342,-0.534196334
Dapma7bEVm002524,486_9308522,-0.507515239
Dapma7bEVm002524,493_0280264,-0.582030543
Dapma7bEVm002778,493_0280264,-0.569637815
Dapma7bEVm002801,493_0280264,-0.519088046
Dapma7bEVm002889,493_0280264,-0.513725625
Dapma7bEVm002784,494_99011,0.514059986
Dapma7bEVm002524,495_0263598,-0.509249405
Dapma7bEVm002784,509_0042891,0.523088501
Dapma7bEVm002784,591_0117074,0.500596278
Dapma7bEVm002524,593_270462,0.547828143
Dapma7bEVm002637,593_270462,0.520133926
Dapma7bEVm002746,593_270462,0.573159823
Dapma7bEVm002778,593_270462,0.545581328
Dapma7bEVm002938,593_270462,0.533289591
Dapma7bEVm002980,593_270462,0.509167521
Dapma7bEVm002524,593_2767994,0.561413117
Dapma7bEVm002637,593_2767994,0.532344985
Dapma7bEVm002746,593_2767994,0.58785667
Dapma7bEVm002778,593_2767994,0.549200487
Dapma7bEVm002810,593_2767994,0.513870584
Dapma7bEVm002889,593_2767994,0.504104989
Dapma7bEVm002938,593_2767994,0.546509726
Dapma7bEVm002524,594_2738616,0.59152071
Dapma7bEVm002581,594_2738616,0.504539671
Dapma7bEVm002637,594_2738616,0.538144551
Dapma7bEVm002746,594_2738616,0.594244475
Dapma7bEVm002778,594_2738616,0.558779195
Dapma7bEVm002801,594_2738616,0.513510658
Dapma7bEVm002810,594_2738616,0.533178499
Dapma7bEVm002889,594_2738616,0.527124822
Dapma7bEVm002938,594_2738616,0.558635449
Dapma7bEVm002980,594_2738616,0.520972263
Dapma7bEVm003111,71_99878495,-0.507576559
Dapma7bEVm003181,71_99878495,-0.516244275
Dapma7bEVm003239,71_99878495,-0.570523226
Dapma7bEVm003427,71_99878495,-0.502575819
Dapma7bEVm003032,72_99554843,-0.511018318
Dapma7bEVm003181,72_99554843,-0.518050224
Dapma7bEVm003239,72_99554843,-0.576436974
Dapma7bEVm003239,79_03601212,-0.517534384
Dapma7bEVm003111,95_01954538,-0.510238593
Dapma7bEVm003334,95_01954538,-0.502257678
Dapma7bEVm003239,96_03006329,-0.524547911
Dapma7bEVm003111,102_0224628,-0.518254517
Dapma7bEVm003239,102_0224628,-0.546304098
Dapma7bEVm003032,104_0098431,-0.548473165
Dapma7bEVm003109,104_0098431,-0.518212463
Dapma7bEVm003181,104_0098431,-0.526092451
Dapma7bEVm003239,104_0098431,-0.576905715
Dapma7bEVm003032,107_0080423,-0.501824909
Dapma7bEVm003109,107_0080423,-0.54791874
Dapma7bEVm003111,107_0080423,-0.531378624
Dapma7bEVm003181,107_0080423,-0.53125895
Dapma7bEVm003239,107_0080423,-0.588564135
Dapma7bEVm003334,107_0080423,-0.518288186
Dapma7bEVm003239,115_9888848,-0.522095303
Dapma7bEVm003032,121_0235785,-0.524404072
Dapma7bEVm003109,121_0235785,-0.50249102
Dapma7bEVm003181,121_0235785,-0.511611065
Dapma7bEVm003239,121_0235785,-0.582984656
Dapma7bEVm003109,121_9938554,-0.524800706
Dapma7bEVm003181,121_9938554,-0.50211105
Dapma7bEVm003239,121_9938554,-0.568763008
Dapma7bEVm003032,137_0297468,-0.512253799
Dapma7bEVm003239,137_0297468,-0.550798377
Dapma7bEVm003111,138_9643966,-0.516654251
Dapma7bEVm003181,138_9643966,-0.508812118
Dapma7bEVm003239,138_9643966,-0.588889546
Dapma7bEVm003032,148_0150336,-0.501110023
Dapma7bEVm003239,148_0150336,-0.57775727
Dapma7bEVm003239,151_045681,-0.527919072
Dapma7bEVm003239,152_9803076,-0.532748596
Dapma7bEVm003032,155_0558511,-0.502900235
Dapma7bEVm003109,155_0558511,-0.55019783
Dapma7bEVm003111,155_0558511,-0.527845983
Dapma7bEVm003181,155_0558511,-0.528106443
Dapma7bEVm003239,155_0558511,-0.55598689
Dapma7bEVm003334,155_0558511,-0.505354881
Dapma7bEVm003239,156_9753322,-0.565942809
Dapma7bEVm003032,158_0304838,-0.556744505
Dapma7bEVm003109,158_0304838,-0.523041557
Dapma7bEVm003111,158_0304838,-0.555822252
Dapma7bEVm003181,158_0304838,-0.562762222
Dapma7bEVm003239,158_0304838,-0.613687486
Dapma7bEVm003334,158_0304838,-0.541946368
Dapma7bEVm003427,158_0304838,-0.526584665
Dapma7bEVm003239,170_9910212,-0.566733273
Dapma7bEVm003109,173_0664584,-0.504187615
Dapma7bEVm003239,173_0664584,-0.513623767
Dapma7bEVm003032,182_9630109,-0.582705269
Dapma7bEVm003109,182_9630109,-0.605187424
Dapma7bEVm003111,182_9630109,-0.572339936
Dapma7bEVm003181,182_9630109,-0.593548267
Dapma7bEVm003239,182_9630109,-0.643031362
Dapma7bEVm003334,182_9630109,-0.569358275
Dapma7bEVm003427,182_9630109,-0.536796453
Dapma7bEVm003152,183_0850225,0.500252841
Dapma7bEVm003032,183_9638,-0.570394623
Dapma7bEVm003109,183_9638,-0.585557732
Dapma7bEVm003111,183_9638,-0.553915381
Dapma7bEVm003181,183_9638,-0.584438564
Dapma7bEVm003239,183_9638,-0.633271874
Dapma7bEVm003334,183_9638,-0.568693177
Dapma7bEVm003427,183_9638,-0.544539103
